ID,NR,TraceSampleCode,Region,RegionNo,d2H,LabNo
1.7300000000000000e+02,2.0000000000000000e+01,"1BItSic08040010","SIC",1.9000000000000000e+01,-9.2400000000000006e+01,
1.7400000000000000e+02,1.0000000000000000e+00,"1BItTos07080001","TOS",2.0000000000000000e+01,-8.9250000000000000e+01,
1.7500000000000000e+02,2.0000000000000000e+00,"1BItTos07080002","TOS",2.0000000000000000e+01,-9.1000000000000000e+01,
1.7600000000000000e+02,3.0000000000000000e+00,"1BItTos07080003","TOS",2.0000000000000000e+01,-8.9210000000000008e+01,
1.7700000000000000e+02,4.0000000000000000e+00,"1BItTos07080004","TOS",2.0000000000000000e+01,-9.0269999999999996e+01,
1.7800000000000000e+02,5.0000000000000000e+00,"1BItTos07080005","TOS",2.0000000000000000e+01,-9.5810000000000002e+01,
1.7900000000000000e+02,6.0000000000000000e+00,"1BItTos07080006","TOS",2.0000000000000000e+01,-9.7900000000000006e+01,
1.8000000000000000e+02,7.0000000000000000e+00,"1BItTos07080007","TOS",2.0000000000000000e+01,-8.8420000000000002e+01,
1.8100000000000000e+02,8.0000000000000000e+00,"1BItTos07080008","TOS",2.0000000000000000e+01,-8.7200000000000003e+01,
1.8200000000000000e+02,9.0000000000000000e+00,"1BItTos07080009","TOS",2.0000000000000000e+01,-8.8310000000000002e+01,
1.8300000000000000e+02,1.0000000000000000e+01,"1BItTos07080010","TOS",2.0000000000000000e+01,-8.8230000000000004e+01,
1.8400000000000000e+02,1.1000000000000000e+01,"1BItTos07100001","TOS",2.0000000000000000e+01,-9.0719999999999999e+01,
1.8500000000000000e+02,1.2000000000000000e+01,"1BItTos07100002","TOS",2.0000000000000000e+01,-8.9159999999999997e+01,
